date,weapon,age,gender,state
1/1/2016,knife,30,M,CA
1/2/2016,knife,37,M,MT
1/2/2016,gun,54,M,TX
1/2/2016,gun,37,M,SD
1/3/2016,gun,30,M,NC
1/4/2016,undetermined,27,M,LA
1/4/2016,gun,22,M,OK
1/5/2016,vehicle,29,M,WA
1/5/2016,knife,39,M,TN
1/5/2016,gun,33,M,NC
1/5/2016,gun,52,M,CA
1/5/2016,hand torch,28,M,CA
1/5/2016,knife,54,M,PA
1/6/2016,toy weapon,38,M,IL
1/6/2016,gun,32,M,NM
1/6/2016,gun,34,M,KY
1/8/2016,knife,26,M,WI
1/8/2016,gun,50,M,GA
1/10/2016,chain saw,37,M,WA
1/10/2016,toy weapon,45,F,MD
1/11/2016,vehicle,56,M,CA
1/11/2016,toy weapon,45,M,OH
1/11/2016,gun,32,M,CO
1/11/2016,unarmed,12,F,PA
1/12/2016,knife,49,M,AK
1/12/2016,gun,58,M,VA
1/13/2016,gun,29,M,TN
1/13/2016,gun,60,M,WA
1/14/2016,gun,40,M,IL
1/14/2016,knife,39,M,CA
1/15/2016,gun,26,M,WV
1/15/2016,gun,24,M,MI
1/16/2016,toy weapon,34,M,CA
1/16/2016,gun,27,M,TX
1/16/2016,toy weapon,44,M,OR
1/16/2016,unarmed,25,F,CA
1/16/2016,vehicle,55,M,WV
1/16/2016,gun,19,M,FL
1/17/2016,gun,52,M,MO
1/17/2016,knife,24,M,CA
1/17/2016,gun,38,M,AL
1/17/2016,gun,31,M,UT
1/17/2016,unarmed,26,M,AZ
1/18/2016,gun,33,M,AZ
1/18/2016,toy weapon,28,M,FL
1/18/2016,knife,27,M,OR
1/18/2016,gun,39,M,AZ
1/18/2016,garden tool,29,M,CA
1/19/2016,gun,36,M,TX
1/19/2016,knife,55,M,NC
1/19/2016,gun,28,M,GA
1/20/2016,gun,40,M,LA
1/20/2016,gun,33,M,AL
1/20/2016,knife,37,M,TX
1/21/2016,gun,39,M,OK
1/23/2016,toy weapon,43,M,AL
1/25/2016,knife,38,M,NV
1/26/2016,gun,55,M,OR
1/27/2016,gun,52,M,AR
1/27/2016,gun,32,M,TN
1/27/2016,gun,31,M,NM
1/27/2016,knife,27,M,SC
1/27/2016,toy weapon,40,M,TN
1/27/2016,vehicle,31,F,MI
